Title (English) / Titre (anglais),Title (French) / Titre (français),Organization / Organisation,Record ID / Identificateur du dossier,Date and Time Deleted/ Date et heure de suppression
The rising dollar: explanation and economic impacts (volume 2) ,Le Dollar à La Hausse : Explications et Impacts Économiques (Volume 2) ,Global Affairs Canada | Affaires mondiales Canada,bd11a968-1da8-47b9-b617-e1895eb7c256,2026-03-11 17:41:57.887674
FluWatchers,La grippe à l'oeil,Public Health Agency of Canada | Agence de la santé publique du Canada,4f7b8e7e-e52b-464f-bea0-9f3de9712941,2026-03-09 19:51:04.890356
Influenza/Influenza-like Illness Activity - Current Week,Activité grippale et pseudogrippale - Semaine Courante,Public Health Agency of Canada | Agence de la santé publique du Canada,86d9a54d-f3b8-474b-853c-cb1a0f4fdd0d,2026-03-09 19:50:27.878746
Food Additives that May Currently be Used as Class 2 Preservatives to Potentially Control the Growth of Listeria monocytogenes in Ready-to-Eat Foods Sold in Canada,Additifs alimentaires qui peuvent présentement être utilisés comme des agents de conservation de catégorie 2 pour potentiellement contrôler la prolifération de Listeria monocytogenes dans les aliments prêts-à-manger vendus au Canada,Health Canada | Santé Canada,158eb7d3-28e2-4641-8a06-ab5d089e341c,2026-03-09 11:01:18.775594
"APPEARANCE REGARDING OUR 2022–2023 ANNUAL REPORT AND MATTERS RELATING TO MINORITY-LANGUAGE HEALTH SERVICES (OLLO) – OCTOBER 23, 2023",COMPARUTION SUR NOTRE RAPPORT ANNUEL 2022-2023 ET SUR LES SERVICES EN SANTÉ DANS LA LANGUE DE LA MINORITÉ (OLLO) – 23 OCTOBRE 2023,Office of the Commissioner of Official Languages | Commissariat aux langues officielles,30e07752-67b4-4213-b120-15cdedeee1ec,2026-02-24 12:21:48.539205
"2023-06-16 LANG Appearance, A.R. and Immigration",2023-06-16 Comparution LANG sur le RA et l'immigration,Office of the Commissioner of Official Languages | Commissariat aux langues officielles,6827b32b-f7c2-4500-a68c-dbe9d8a8a0cf,2026-02-24 12:21:48.100488
"APPEARANCE REGARDING THE EDUCATION CONTINUUM IN OFFICIAL LANGUAGE MINORITY COMMUNITIES LANG – November 26, 2024",COMPARUTION SUR LE CONTINUUM EN ÉDUCATION DANS LES COMMUNAUTÉS DE LANGUE OFFICIELLE EN SITUATION MINORITAIRE LANG – le 26 novembre 2024,Office of the Commissioner of Official Languages | Commissariat aux langues officielles,82a1420c-8c0b-45b3-ac19-8898883d9832,2026-02-20 15:09:50.635301
Aerial imagery - orthophotographic mosaics,Imagerie aérienne - mosaïques orthophotographiques,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,105ad752-420e-4b03-bcee-34e26639db6e,2026-02-18 20:01:07.934090
Bedrock,Substrat rocheux,Government of New Brunswick | Gouvernement du Nouveau-Brunswick,9dbfed3b-3bfd-1d2c-a51c-2214f1716d20,2026-02-18 15:30:56.457982
Evaluation of the Canadian Technology Accelerator – Final Evaluation Report,Évaluation des Accélérateurs technologiques canadiens – Rapport d’évaluation final,Global Affairs Canada | Affaires mondiales Canada,323e78cb-b73e-4a92-ac3e-503fd0905a50,2026-02-17 16:18:31.309946
Evaluation of the Canadian Police Arrangement and the International Police Peacekeeping and Peace Operations Program ,Évaluation de l'arrangement sur la police canadienne et du programme d'opérations policières internationales de paix et de maintien de la paix,Global Affairs Canada | Affaires mondiales Canada,a96fb6fb-1cd1-4c33-a175-e3ed8faca80f,2026-02-16 16:27:17.583801
Evaluation of the Canada Fund for Local Initiatives - Final Report ,Évaluation du fonds canadien d’initiatives locales - Rapport final ,Global Affairs Canada | Affaires mondiales Canada,ea16bb50-0284-45d8-8e00-eca6f81881cc,2026-02-16 16:19:14.104476
Evaluation of the North American Platform Program (NAPP) Partnership ,Évaluation du Programme de partenariat de la plateforme nord-américaine (PPNA),Global Affairs Canada | Affaires mondiales Canada,564d03e3-ebb0-46d2-a7a4-9320abb212d3,2026-02-16 16:19:13.203208
2009-10 BPA in Infant Food and Formula,2009-10 Bisphénol A dans les Aliments et Préparations de Nourrisson,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,43d3dc04-da14-4229-908e-4eef30ce8aaf,2026-02-13 18:08:07.233113
Annual EIS XML schema release,Publication annuelle du schéma XML EIS,Indigenous Services Canada | Services aux Autochtones Canada,1572fff0-48cd-4b94-913b-36a65bd7af17,2026-02-04 16:47:32.870205
Documents on Canadian external relations,Documents relatifs aux relations extérieures du Canada,Global Affairs Canada | Affaires mondiales Canada,31d6dfda-2685-42b3-95f1-a35e560ff13b,2026-01-29 17:31:38.337721
Toponyms,Toponymes,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,d1a6fd5e-3b65-46ee-a2bf-2c94f84e5f18,2026-01-28 18:40:21.605713
Global Affairs Canada helping journalists in Nepal report the truth ,Affaires mondiales Canada appuie les journalistes au Népal à rapporter les faits,Global Affairs Canada | Affaires mondiales Canada,4c8f1db8-4ed9-4a4a-9a6e-e2b87ddaa360,2026-01-28 16:51:57.259347
A journey of empowerment and equality: Celebrating 10 years of Global Affairs Canada’s Women’s Network!,Un parcours vers l’autonomisation et l’égalité : célébrons les dix ans du Réseau des femmes d’Affaires mondiales Canada!,Global Affairs Canada | Affaires mondiales Canada,061075fc-f9dd-4647-8a34-f8cb7926af8d,2026-01-28 16:51:56.846101
"Progress Report – Canada’s National Action Plan for the Implementation of United Nations Security Council Resolutions on Women, Peace and Security","Plan d’action national du Canada pour la mise en œuvre des résolutions du Conseil de sécurité des Nations Unies sur les femmes, la paix et la sécurité - Rapport d’étape",Global Affairs Canada | Affaires mondiales Canada,73854ce8-aa1b-4a97-88a3-778defff95d3,2026-01-28 16:51:56.529695
Nursing station locations,Emplacement des postes de soins infirmiers,Government of Ontario | Gouvernement de l'Ontario,67ccebe5-01ab-4a06-a615-0c825595f9cb,2026-01-28 14:20:27.712968
Independent Health Facility (IHF) locations,Emplacement des établissements de santé autonomes (ESA),Government of Ontario | Gouvernement de l'Ontario,071ebbeb-dc44-4cfc-a965-0eec1d54b0a3,2026-01-28 14:20:24.896796
Pharmacy locations,Emplacement des pharmacies,Government of Ontario | Gouvernement de l'Ontario,94b86d78-6a2e-48b9-873b-f45fdff1bb27,2026-01-28 14:20:22.117008
Mental Health and Addiction Organization (MHAO) locations,Emplacement des organismes de santé mentale et de lutte contre les dépendances (OSMLD),Government of Ontario | Gouvernement de l'Ontario,d7483fd9-cc4e-4d8d-894f-c4e5877b327c,2026-01-28 14:20:19.293397
Canadian Drought Outlook,Aperçu de la sécheresse au Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2c82daab-f6d9-4b19-96b5-238249e09fb9,2026-01-27 19:20:16.885273
South Tobacco Creek Watershed - DEM,Bassin du ruisseau Tobacco Sud - MNA,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,6640b919-abbe-405b-a5f6-d4d808cbbcec,2026-01-26 21:00:20.219775
South Tobacco Creek Watershed - 10 cm Contours,Bassin du ruisseau Tobacco Sud - courbes de niveau de 10 cm,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,734078a9-9aa1-44a1-9e74-dc9387a9ecfe,2026-01-26 21:00:17.574960
La Salle Upstream of Elie Watershed LiDAR – LASer Files,Données LiDAR sur le bassin hydrographique La Salle en amont d’Elie – fichiers LASer,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,5aa09916-130f-4747-847e-23e6728c04e3,2026-01-26 21:00:14.815827
"Change Register for REGDOC 3.2.2, Indigenous Engagement","Registre des modifications pour REGDOC-3.2.2, Mobilisation des Autochtones",Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,21185737-fdf6-4eec-b6cb-b6db0856c8e1,2026-01-26 15:41:00.116182
Audit of Management Practices of the Permanent Mission of Canada to the International Civil Aviation Organization,Vérification des pratiques de gestion de la Mission permanente du Canada auprès de l’Organisation de l’aviation civile internationale,Global Affairs Canada | Affaires mondiales Canada,c300fabb-55d6-45e1-b4cd-3f727bc3a2ee,2026-01-26 14:50:58.810903
"REGDOC 3.2.2, Indigenous Engagement, 2025 consultation draft","REGDOC-3.2.2, Mobilisation des Autochtones, ébauche de consultation de 2025",Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,3d94233b-ee5e-448d-b7bf-8ef19bef4a57,2026-01-26 13:20:59.158755
Federally Registered Meat Establishments and their Licensed Operators,Établissements de viande agréés par le gouvernement fédéral et leurs exploitants autorisés,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,9938fee0-2c20-4277-b73f-a15d981d98fe,2026-01-23 13:02:09.075759
Administrative Monetary Penalties repeat violators,Sanctions administratives pécuniaires récidivistes,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,d6759200-c154-4f07-8494-5bfdb3bccb65,2026-01-23 13:02:08.469843
Registered Products List (Fertilizer),Liste(s) des produits enregistrés,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,ad65ed59-54f2-42ba-a97d-e8f2cd6ea8a4,2026-01-23 13:02:08.056741
Quarterly reports of Food Shipments Refused Entry into Canada ,Rapports trimestriels des Envois dont l'entrée au Canada est refusée,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,fdcfd332-2f0b-4659-947d-5118fe6a85ac,2026-01-23 13:02:07.734396
Canadian Food Inspection Agency (CFIA) Fish List - Common Names, Liste des poissons de l'ACIA- Noms communs ,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,b753530c-5e36-4b90-9680-a7a0ee7a4bb6,2026-01-23 13:02:07.321379
Quarterly reports of non-compliant and disposed food products (Domestic),Rapports trimestriels DES produits alimentaires non conformes et éliminés ,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,41c5504d-1222-4d4d-8e7f-38794459ff85,2026-01-23 13:02:07.001379
Canadian Establishments Approved List for Export,Liste des établissements canadiens agréés pour l'exportation,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,ac67f836-9513-4dfc-a22f-546212d7ce1f,2026-01-23 13:02:06.575033
CFIA Charlottetown Lab Reference Control Inventory ,Compilation des contrôles de reference du Laboratoire de Charlottetown de l’ACIA,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,371ec5ff-b822-4865-8d9d-d0e46a557d36,2026-01-23 13:02:06.300025
CFIA Charlottetown Lab Bacterial Culture Validation Database ,Base de données sur la validation des cultures du Laboratoire de Charlottetown de l’ACIA,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,1a8ada82-87d6-4aa0-9c31-8a0d8c7ac548,2026-01-23 12:52:13.786597
CFIA Charlottetown Lab Bacterial Culture Collection Database,Base de données regroupant la collection de cultures du Laboratoire de Charlottetown de l’ACIA,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,6b3f1d7c-4059-4c5d-8a41-e3f705374016,2026-01-23 12:52:13.471949
AIRS Miscellaneous Codes, Codes divers du SARI,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,29293c49-f05c-4555-a421-d2c90939b565,2026-01-23 12:52:13.170831
AIRS Registration Codes ,Types d'enregistrement du SARI,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,901d96d7-3313-41a5-8694-913dca4f5cb9,2026-01-23 12:52:12.886053
AIRS End Use Codes,Codes d'usages finaux du SARI,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,6db8d434-2980-4c13-b226-aac8a3ee8d3e,2026-01-23 12:52:12.092006
Taxi waiting stations,Postes d'attente de taxi,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,abeea64a-6dd8-4166-8b86-629b282b97a1,2026-01-14 15:20:22.349641
"2021-2023 Report to Parliament on the Indian Oil and Gas Act, RSC 1985, C I-7","2021-2023 Rapport addressé au Parlement sur la Loi sur le pétrole et gaz des terres indiennes, LRC 1985, ch. I-7",Indigenous Services Canada | Services aux Autochtones Canada,906ad81f-9784-4838-9c2b-f2f04b947a66,2026-01-14 13:21:41.940897
"2021 Report to Parliament on the Indian Oil and Gas Act, RSC 1985, c I-7","Rapport de 2021 adressé au Parlement sur la Loi sur le pétrole et le gaz des terres indiennes, LRC 1985, ch. I-7",Indigenous Services Canada | Services aux Autochtones Canada,8c08d0b5-f640-489f-a111-c44fa3f9c678,2026-01-14 13:21:41.778212
Footprints Yukon Aerial Photographs - Before 2021,Photographies aériennes de Footprints Yukon - Avant 2021,Government of Yukon | Gouvernement du Yukon,fbb89d05-4253-4c4c-9a0d-4f2ecbabb37f,2026-01-12 20:43:41.634663
Yukon Aerial Photographs - Before 2021,Photographies aériennes du Yukon - Avant 2021,Government of Yukon | Gouvernement du Yukon,f44532dd-8c7f-45cc-aa96-3b28067365c1,2026-01-12 20:42:56.254047
First Nation Traditional Territories Wallmap,Carte murale des territoires traditionnels des Premières Nations,Government of Yukon | Gouvernement du Yukon,ca190a5d-0ab0-4536-a49f-f9e9ec536d0b,2026-01-12 20:40:10.578723
Quebec City snow removal operations — Parking prohibitions,Opérations déneigements de la Ville de Québec – Interdictions de stationnement,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,fd27a366-4664-45b1-aac0-65007c80db95,2026-01-12 20:38:11.880763
Tourism activities - Quebec Tourism Information System (SIT Quebec),Activités touristiques - Système d’information touristique Québec (SIT Québec),Government and Municipalities of Québec | Gouvernement et municipalités du Québec,154b163c-76b6-43c9-ad3f-426b4fae1fb4,2026-01-12 20:37:45.054112
Taxi waiting stations,Postes d'attente de taxi,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,a305bf87-97af-4f9c-9142-39e7b39f496c,2026-01-12 20:37:08.920268
"Priced municipal parking lots, on and off street","Stationnements municipaux tarifés, sur rue et hors rue",Government and Municipalities of Québec | Gouvernement et municipalités du Québec,5115de69-76b1-444e-9409-ebcaa3f3f1d0,2026-01-12 20:36:11.237056
National Public Alerting System (SNAP) - Quebec Alert: Quebec Alert Zones,Système national d'alertes au public (SNAP) - Québec En Alerte : Zones d'alerte québécoises,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,fcae48c0-0612-44d2-8b24-17af9a3bfdd3,2026-01-12 20:35:51.595543
Road network (full width) - Ville de Shawinigan,Réseau routier (pleine largeur) - Ville de Shawinigan,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,b0ea9f8c-2e25-4c79-ad37-c96b9d9a07a1,2026-01-12 20:35:03.419500
Tick Data 2019,Données relatives aux tiques 2019,Government of New Brunswick | Gouvernement du Nouveau-Brunswick,f780c14c-4062-7100-6e0d-90ecc37ac0ae,2026-01-12 20:21:46.349970
Tick Data 2020,Données relatives aux tiques 2020,Government of New Brunswick | Gouvernement du Nouveau-Brunswick,c05af46a-cc36-8d1a-e0fd-40b54707dd72,2026-01-12 20:21:13.213254
Tick Data 2018,Données relatives aux tiques 2018,Government of New Brunswick | Gouvernement du Nouveau-Brunswick,c9c11b3b-34e7-941c-6bb9-7cb2fd2824b2,2026-01-12 20:21:03.906401
Tick Data 2021,Données relatives aux tiques 2021,Government of New Brunswick | Gouvernement du Nouveau-Brunswick,6803cab3-ba8e-c64e-b65d-658a35f716eb,2026-01-12 20:20:31.922358
Manitoba Look North Economic Areas,Zones économiques orientées vers le nord du Manitoba,Government of Manitoba | Gouvernement du Manitoba,a6b144e0-426e-b315-6c9c-1f9799c24806,2025-12-09 16:47:33.190550
Quebec feature films available on digital platforms (2022),Longs métrages québécois disponibles sur les plateformes numériques (2022),Government and Municipalities of Québec | Gouvernement et municipalités du Québec,ceaa98f1-6fcb-423c-a930-5f3fa452c398,2025-12-08 16:07:40.739217
Quebec feature films available on digital platforms (2023),Longs métrages québécois disponibles sur les plateformes numériques (2023),Government and Municipalities of Québec | Gouvernement et municipalités du Québec,526fc5a4-e08e-44c3-939d-ab44be753c70,2025-12-08 16:07:31.333241
Community Health Centre (CHC) locations,Emplacement des centres de santé communautaire (CSC),Government of Ontario | Gouvernement de l'Ontario,17ae739f-7cf0-495b-ac4a-45e9feb44f95,2025-12-08 16:06:01.046892
Nurse Practitioner Led Clinic (NPLC) locations,Emplacement des cliniques dirigées par du personnel infirmier praticien (CPIP),Government of Ontario | Gouvernement de l'Ontario,023f39b6-feb0-4c62-b9d3-cb3050d657d9,2025-12-08 16:05:51.049833
AgriMaps: Current Weather Conditions,AgriMaps : Conditions météorologiques actuelles,Government of Manitoba | Gouvernement du Manitoba,8abc34de-6093-1707-cf85-01ca830fc6dd,2025-12-08 15:53:10.825114
Veterans Affairs Canada Statistical Report on the Privacy Act 2017-2018,Anciens Combattants Canada Rapport statistique sur la Loi sur la protection des renseignements personnels 2017-2018,Veterans Affairs Canada | Anciens Combattants Canada,343bce88-23d7-47fe-824b-edbef843701c,2025-11-27 18:01:16.842530
Veterans Affairs Canada Statistical Report on the Privacy Act 2016-2017 ,Anciens Combattants Canada Rapport statistique sur la Loi sur la protection des renseignements personnels 2016-2017,Veterans Affairs Canada | Anciens Combattants Canada,94e95fb0-4221-4833-9cdc-7f305de1a0eb,2025-11-27 17:51:29.736437
Veterans Affairs Canada Statistical Report on the Privacy Act 2015-2016 ,Anciens Combattants Canada Rapport statistique sur la Loi sur la protection des renseignements personnels 2015-2016,Veterans Affairs Canada | Anciens Combattants Canada,8027083b-2af0-4312-afbf-3925b904c58f,2025-11-27 17:51:29.154599
Veterans Affairs Canada Statistical Report on the Privacy Act 2014-2015 ,Anciens Combattants Canada Rapport statistique sur la Loi sur la protection des renseignements personnels 2014-2015,Veterans Affairs Canada | Anciens Combattants Canada,06797992-acbb-4410-b6f1-f08b7ff2b6aa,2025-11-27 17:51:27.100378
Veterans Affairs Canada Statistical Report on the Privacy Act 2013-2014 ,Anciens Combattants Canada Rapport statistique sur la Loi sur la protection des renseignements personnels 2013-2014,Veterans Affairs Canada | Anciens Combattants Canada,885b7c0c-4f20-4f6a-9b2f-b9051ef166f3,2025-11-27 17:51:26.426637
Veterans Affairs Canada Statistical Report on the Privacy Act 2012-2013 ,Anciens Combattants Canada Rapport statistique sur la Loi sur la protection des renseignements personnels 2012-2013,Veterans Affairs Canada | Anciens Combattants Canada,99111c10-fde6-4464-96ac-0711e2f5529c,2025-11-27 17:51:25.811622
Veterans Affairs Canada Statistical Report on the Privacy Act 2011-2012,Anciens Combattants Canada Rapport statistique sur la Loi sur la protection des renseignements personnels 2011-2012,Veterans Affairs Canada | Anciens Combattants Canada,226c06da-1c29-4c09-9098-72dc8059528c,2025-11-27 17:51:25.237270
Veterans Affairs Canada Statistical Report on the Access to Information Act 2012-2013 ,Anciens Combattants Canada Rapport statistique sur la Loi sur l’accès à l’information 2012-2013,Veterans Affairs Canada | Anciens Combattants Canada,72575bbe-7aa0-4b31-beaa-f0c27f382ce8,2025-11-27 17:51:24.552533
Veterans Affairs Canada Statistical Report on the Access to Information Act 2013-2014 ,Anciens Combattants Canada Rapport statistique sur la Loi sur l’accès à l’information 2013-2014,Veterans Affairs Canada | Anciens Combattants Canada,38aaa1dc-eb3e-4a5d-9597-130ff30b39e6,2025-11-27 17:51:23.960369
Veterans Affairs Canada Statistical Report on the Access to Information Act 2014-2015 ,Anciens Combattants Canada Rapport statistique sur la Loi sur l’accès à l’information 2014-2015,Veterans Affairs Canada | Anciens Combattants Canada,53630fb9-b8b4-4851-9026-75cfb35c064f,2025-11-27 17:51:23.263483
Veterans Affairs Canada Statistical Report on the Access to Information Act 2015-2016 ,Anciens Combattants Canada Rapport statistique sur la Loi sur l’accès à l’information 2015-2016,Veterans Affairs Canada | Anciens Combattants Canada,38dccf0e-4dbb-43f6-a943-82009811ed2f,2025-11-27 17:51:22.640926
Veterans Affairs Canada Statistical Report on the Access to Information Act 2016-2017 ,Anciens Combattants Canada Rapport statistique sur la Loi sur la protection des renseignements personnels 2016-2017,Veterans Affairs Canada | Anciens Combattants Canada,4ed2959e-a813-4de1-b91f-0dac231629fe,2025-11-27 17:51:22.018607
Veterans Affairs Canada Statistical Report on the Access to Information Act 2017-2018 ,Anciens Combattants Canada Rapport statistique sur la Loi sur la protection des renseignements personnels 2017-2018,Veterans Affairs Canada | Anciens Combattants Canada,85516ac0-99d9-40c8-a163-73703af36150,2025-11-27 17:51:21.345924
Veterans Affairs Canada Statistical Report on the Access to Information Act 2011-2012,Anciens Combattants Canada Rapport statistique sur la Loi sur l'accès à l'information 2011-2012,Veterans Affairs Canada | Anciens Combattants Canada,d7095e89-d725-4b95-b631-d97af84b0bad,2025-11-27 17:51:20.556680
2012 HIV/AIDS Attitudinal Tracking Survey  ,Sondage de suivi de 2012 sur les attitudes touchant le VIH/sida,Public Health Agency of Canada | Agence de la santé publique du Canada,f79b3ec4-5b50-4ec1-894d-e9855148e55d,2025-11-27 16:51:08.067242
CFIA List of Peer-reviewed Scientific Publications ,Liste de publications scientifiques évalués par les pairs d'ACIA ,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,d04684df-f327-4d2b-bd37-1ba8c7d93bca,2025-11-25 19:01:05.765845
"Justice in Official Languages Newsletter No. 19, Summer 2023","Justice en langues officielles – Le Bulletin no. 19, Été 2023",Department of Justice Canada | Ministère de la Justice Canada,f0bbc94e-1158-4375-a787-8b2f4c07da2f,2025-11-24 16:11:05.358925
Percentage of multi-jurisdictional foodborne and zoonotic illness outbreaks/clusters notified to the Outbreak Management Division (OMD-CFEZID-PHAC) fiscal year 2018-19 assessed within 24 hours of notification,"Pourcentage d’éclosions ou de grappes intergouvernementales de maladies d’origine alimentaire et zoonotique signalées à la Division de la gestion des éclosions (DGE-CMIOAEZ-ASPC) pour l’exercice 2018-2019, et ayant été évaluées dans les 24 heures suivant le signalement",Public Health Agency of Canada | Agence de la santé publique du Canada,18796901-bf64-4f4c-bc62-384f7cdc1a3a,2025-11-21 20:50:49.510064
Air pollutant emissions,Émissions de polluants atmosphériques,Environment and Climate Change Canada | Environnement et Changement climatique Canada,faee4b68-b62a-45c1-88a8-c974f5f19a50,2025-11-20 14:21:35.850241
Democratic life,Vie démocratique,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,e0721c5d-c7d0-4aeb-b0cf-dbe73ffb96b8,2025-11-17 18:26:31.279295
Vector2024-042 Remotely Piloted Aircraft Systems (RPAS) Data,Vector2024-042 Données sur les systèmes d'aéronefs télépilotés (SATP),Fisheries and Oceans Canada | Pêches et Océans Canada,e52a3ed1-d3e9-43d3-bcba-ec36dea9cd08,2025-11-06 16:07:04.926438
Federal Witness Protection Program - Annual Reports,Rapport annuel du Programme fédéral de protection des témoins,Royal Canadian Mounted Police | Gendarmerie royale du Canada,6d5b9a4b-63bb-4f19-ba37-722072307a5f,2025-11-05 13:31:06.672555
UMOS statistically post-processed Forecast of the Regional Deterministic Prediction System (RDPS-UMOS-MLR),Prévision du système régional de prévision déterministe statistiquement post-traité par UMOS (SRPD-UMOS-RLM),Environment and Climate Change Canada | Environnement et Changement climatique Canada,bb0d1eeb-0e11-49e0-a5e3-6d99d4decb31,2025-10-27 12:42:22.350818
UMOS statistically post-processed Forecast of the Global Deterministic Prediction System (GDPS-UMOS-MLR),Prévision du système global de prévision déterministe statistiquement post-traité par UMOS (SGPD-UMOS-RLM),Environment and Climate Change Canada | Environnement et Changement climatique Canada,7c1070fd-af7d-40fe-9e78-49d2962f0bbc,2025-10-27 12:42:01.620261
Outdoor pools - Ville de Shawinigan,Piscines extérieures - Ville de Shawinigan,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,54d4fe8a-453f-4fdc-8d75-b74b22957c5f,2025-10-23 12:37:20.793126
Foreign exchange accounts as per the Public Accounts of Canada,Comptes d'opérations de change selon les Comptes publics du Canada,Public Services and Procurement Canada | Services publics et Approvisionnement Canada,893ddbdf-9493-408a-856c-ff89b4ec4f04,2025-10-20 15:31:01.477945
Arenas - City of Shawinigan,Arénas - Ville de Shawinigan,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,e9bb6d41-dfd1-4e88-b2a1-cc946edec52e,2025-10-16 17:22:08.420138
Events - City of Shawinigan,Événements - Ville de Shawinigan,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,46455203-a63f-4a96-9dd3-9396031d31b1,2025-10-16 17:21:55.023114
Quebec agricultural zone,Zone agricole du Québec,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,4836cdba-f26b-4803-a068-01de937ae557,2025-10-16 14:57:12.982904
"Mainstem Benthic Invertebrates, Oil Sands Region","Invertébrés benthiques du tronçon principal, région des sables bitumineux",Environment and Climate Change Canada | Environnement et Changement climatique Canada,23cbf970-ac5c-47a3-adda-eb92047306d7,2025-10-09 12:48:48.450832
Base Hydrography Update Index,Indice de mise à jour de l'hydrographie de base,Government of Alberta | Gouvernement de l'Alberta,32bcd40b-6071-46d5-9a5e-ded3e9908604,2025-10-06 13:28:02.912010
Alberta Sustainable Resource Development Land Use Operations Office,Bureau des opérations d'utilisation des terres pour le développement durable des ressources de l'Alberta,Government of Alberta | Gouvernement de l'Alberta,1dc55fe9-40e0-43e8-b1c3-ca27588fbee2,2025-10-06 13:27:54.885132
Public Lands Camping Pass Boundary,Limite du laissez-passer de camping des terres publiques,Government of Alberta | Gouvernement de l'Alberta,ead6d1e6-7508-4ccd-a0d5-d3d05205ab30,2025-10-06 13:27:46.709358
Base Hydrography Update Index,Indice de mise à jour de l'hydrographie de base,Government of Alberta | Gouvernement de l'Alberta,154a02c3-ebb5-429c-abdc-3d25082ccee7,2025-10-06 13:27:38.245075
Fish and Wildlife District,District de la pêche et de la faune,Government of Alberta | Gouvernement de l'Alberta,b5fb517f-18dc-4919-9cec-2b0ea9928240,2025-10-06 13:27:29.226088
