serviceId,censusCode,censusMinPercentage,censusMinPopulation,censusTotalPopulation,cmaCensusName,countryId,csdCensusName,demoTypeId,groupId,groupName,institutionCode,isSelfDesignated,langObligationId,measureDemandEnglish,measureDemandFrench,measureDemandPercentage,officeNumber,phoneAreaCode,phoneCountryCode,phoneNumber,programsInfo,provision,saMinorityPercentage,saMinorityPopulation,saTotalPopulation,telephone,volume,address_en,address_fr,clientele_en,clientele_fr,institutionName_en,institutionName_fr,langObligation_en,langObligation_fr,locality_en,locality_fr,region_en,region_fr,serviceLevel_en,serviceLevel_fr,serviceName_en,serviceName_fr,serviceStatus_en,serviceStatus_fr,serviceType_en,serviceType_fr
10120,,,,,-,,-,,,,RSN,False,1,0.0,0.0,,10120,,,,,5-1-a,,0,0,,-,365 HARGRAVE STREET,365 RUE HARGRAVE,The general public,Le grand public,Natural Resources Canada,Ressources naturelles Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10120 Geomatics Canada - Cadastral Management - Legal Survey Division,Bureau local 10120 Géomatique Canada - Gestion cadastrale - Division des levés officiels,Active,Actif,A local office or facility,Bureau local
10132,,,,,-,,-,,,,DOE,False,1,0.0,0.0,,10132,204,1,9846203,,5-1-a,,0,0,2049846203,-,123 MAIN STREET,123 RUE MAIN,The general public,Le grand public,Environment and Climate Change Canada,Environnement et Changement climatique Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10132,Bureau local 10132,Active,Actif,A local office or facility,Bureau local
10146,,,,,-,,-,,,,CAP,False,1,0.0,0.0,,10146,204,1,785-6050,,9-a,,0,0,204785-6050,-,5925 HIGHWAY 9,5925 HIGHWAY 9,The general public,Le grand public,Parks Canada,Parcs Canada,Bilingual,bilingue,St Andrews,St Andrews,MB,MB,Non-key service,Un service non-clé,Lower Fort Garry National Historic Site,Lieu historique national de Lower Fort Garry,Active,Actif,At a national historic site,Dans un lieu historique national
10147,,,,,-,,-,,,,CAP,False,1,0.0,0.0,,10147,204,1,848-7275,,9-a,,0,0,204848-7275,-,133 WASAGAMING DRIVE,133 PROM WASAGAMING,The general public,Le grand public,Parks Canada,Parcs Canada,Bilingual,bilingue,Wasagaming,Wasagaming,MB,MB,Non-key service,Un service non-clé,Riding Mountain National Park,Parc national du Mont-Riding,Active,Actif,A National Park - or service on land set aside as a national historic site,Un parc national - ou un service situé sur une terre érigée en lieu historique national
10148,,,,,-,,-,,,,CAP,False,1,0.0,0.0,,10148,888,1,873-8888,,5-1-a,,0,0,888873-8888,-,145 McDermot Avenue,"145, avenue McDermot",The general public,Le grand public,Parks Canada,Parcs Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Parks Canada - Winnipeg Satellite Office - In person services by appointment only,Parcs Canada - Bureau satellite à Winnipeg - Services en personne sur rendez-vous seulement,Active,Actif,A local office or facility,Bureau local
10149,,,,,-,,-,,,,CAP,False,1,0.0,0.0,,10149,204,1,785-6050,,9-a,,0,0,204785-6050,-,330 RIVER ROAD,330 CH RIVER,The general public,Le grand public,Parks Canada,Parcs Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Riel House National Historic Site,Lieu historique national de la Maison-Riel,Active,Actif,At a national historic site,Dans un lieu historique national
10150,,,,,-,,-,,,,CSD,False,1,0.0,0.0,,10150,800,1,622-6232,,5-1-a,,0,0,800622-6232,-,"433 MAIN STREET, SUITE 400","433 RUE MAIN, BUREAU 400",The general public,Le grand public,Employment and Social Development Canada,Emploi et Développement social Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Key service,Un service-clé,Passport Service - Winnipeg (4000),Service de passeport - Winnipeg (4000),Active,Actif,A local office or facility,Bureau local
10151,,,,,-,,-,,,,FCC,False,1,0.0,0.0,,10151,376,204,3500,,5-1-h.1,,1175,47415,3763500,-,145 SUNSET BOULEVARD,145 BOUL SUNSET,The general public,Le grand public,Farm Credit Canada,Financement agricole Canada,Bilingual,bilingue,Arborg,Arborg,MB,MB,Non-key service,Un service non-clé,Local Office 10151,Bureau local 10151,Active,Actif,A local office or facility,Bureau local
10152,,,,,-,,-,,,,FCC,False,1,100.0,0.0,,10152,726,204,7595,,5-1-h.1,,2100,93015,7267595,-,2605 VICTORIA AVENUE,2605 AV VICTORIA,The general public,Le grand public,Farm Credit Canada,Financement agricole Canada,Bilingual,bilingue,Brandon,Brandon,MB,MB,Non-key service,Un service non-clé,Local Office 10152,Bureau local 10152,Active,Actif,A local office or facility,Bureau local
10154,,,,,-,,-,,,,FCC,False,1,0.0,0.0,,10154,,,,,5-1-h.1,,795,25840,,-,1450 MAIN ST SOUTH,1450 RUE MAIN SUD,The general public,Le grand public,Farm Credit Canada,Financement agricole Canada,Bilingual,bilingue,Dauphin,Dauphin,MB,MB,Non-key service,Un service non-clé,Local Office 10154,Bureau local 10154,Active,Actif,A local office or facility,Bureau local
10156,,,,,-,,-,,,,FCC,False,1,0.0,0.0,,10156,331,204,5030,,5-1-h.1,,44345,895440,3315030,-,24149 PTH #3,24149 RPGC 3,The general public,Le grand public,Farm Credit Canada,Financement agricole Canada,Bilingual,bilingue,Morden,Morden,MB,MB,Non-key service,Un service non-clé,Local Office 10156,Bureau local 10156,Active,Actif,A local office or facility,Bureau local
10157,,,,,-,,-,,,,FCC,False,2,0.0,0.0,,10157,476,204,7330,,5-1-h-i,,215,18515,4767330,-,45 MAIN STREET,45 RUE MAIN,The general public,Le grand public,Farm Credit Canada,Financement agricole Canada,English,anglais,Neepawa,Neepawa,MB,MB,Non-key service,Un service non-clé,Local Office 10157,Bureau local 10157,Active,Actif,A local office or facility,Bureau local
10158,,,,,-,,-,,,,FCC,False,1,0.0,0.0,,10158,239,204,8470,,5-1-h.1,,1485,33965,2398470,-,2370 SISSONS DRIVE,2370 PROMENADE SISSONS,The general public,Le grand public,Farm Credit Canada,Financement agricole Canada,Bilingual,bilingue,Portage La Prairie,Portage La Prairie,MB,MB,Non-key service,Un service non-clé,Local Office 10158,Bureau local 10158,Active,Actif,A local office or facility,Bureau local
10159,,,,,-,,-,,,,FCC,False,1,0.0,0.0,,10159,748,204,4150,,5-1-h.1,,400,17920,7484150,-,245 KING ST EAST,245 RUE KING EST,The general public,Le grand public,Farm Credit Canada,Financement agricole Canada,Bilingual,bilingue,Virden,Virden,MB,MB,Non-key service,Un service non-clé,Local Office 10159,Bureau local 10159,Active,Actif,A local office or facility,Bureau local
10165,,,,,-,,-,,,,FBD,False,1,0.0,0.0,,10165,888,1,463-6232,,5-1-l,,3420,158495,888463-6232,-,1212 18TH STREET,1212 18TH ST,The general public,Le grand public,Business Development Bank of Canada,Banque de développement du Canada,Bilingual,bilingue,Brandon,Brandon,MB,MB,Key service,Un service-clé,Brandon,Brandon,Active,Actif,A local office or facility,Bureau local
10166,,,,,-,,-,,,,FBD,False,1,0.0,0.0,,10166,888,1,463-6232,,5-1-a,,0,0,888463-6232,-,"242 HARGRAVE, SUITE 920","242 HARGRAVE, BUREAU 920",The general public,Le grand public,Business Development Bank of Canada,Banque de développement du Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Key service,Un service-clé,Winnipeg,Winnipeg,Active,Actif,A local office or facility,Bureau local
10169,,,,,-,,-,,,,DFO,False,1,0.0,0.0,,10169,,,,,5-1-a,,0,0,,-,501 UNIVERSITY CRESCENT,501 CROISSANT UNIVERSITY,The general public,Le grand public,Fisheries and Oceans Canada,Pêches et Océans Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10169 Regional Office; Freshwater Institute,Bureau local 10169 Bureau régional; Institut d'eau douce / Tel.: 1-204-984-8230,Active,Actif,A local office or facility,Bureau local
10172,,,,,-,,-,,,,FFM,False,1,0.0,0.0,,10172,204,1,983-6600,,22,,0,0,204983-6600,-,1199 PLESSIS ROAD,1199 CH PLESSIS,The general public,Le grand public,Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d'eau douce,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d'eau douce,Active,Actif,Head Office,Siège social
1018,,,,,-,44.0,-,,,,EXT,False,1,0.0,0.0,,1018,,,,,10-a,,0,0,44,-,"23 NOGUÈS AVENUE, ABIDJAN","23 AV NOGUÈS, ABIDJAN",The general public,Le grand public,Global Affairs Canada,Affaires mondiales Canada,Bilingual,bilingue,-,-,Côte d'Ivoire,Côte d'Ivoire (la),Non-key service,Un service non-clé,Diplomatic mission or consular post 1018,Mission diplomatique ou consulat 1018,Active,Actif,"A diplomatic mission or consular post, or an office of the Department of Citizenship and Immigration located in a diplomatic mission or consular post","Une mission diplomatique ou un poste consulaire, ou un bureau du ministère de la Citoyenneté et de l’Immigration situé dans une mission diplomatique ou un poste consulaire"
10183,,,,,-,,-,,,,AHS,False,1,0.0,0.0,,10183,204,1,789-2000,,5-1-a,,0,0,204789-2000,-,1015 ARLINGTON STREET,1015 RUE ARLINGTON,The general public,Le grand public,Public Health Agency of Canada,Agence de la santé publique du Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10183 Public Health Agency of Canada / National Microbiology Laboratory Branch ,Bureau local 10183 Agence de la santé publique du Canada / Direction générale du Laboratoire national de microbiologie,Active,Actif,A local office or facility,Bureau local
10185,,,,,-,,-,,,,IAN,False,1,0.0,0.0,,10185,833,1,983-2936,,5-1-a,,0,0,833983-2936,-,365 HARGRAVE STREET,365 RUE HARGRAVE,The general public,Le grand public,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10185,Bureau local 10185,Active,Actif,A local office or facility,Bureau local
1019,,,,,-,233.0,-,,,,EXT,False,1,0.0,0.0,,1019,,,,,10-a,,0,0,233,-,"1175 PEACHTREE ST N.E., COLONY SQUARE, SUITE 1700, ATLANTA, GEORGIA","1175 RUE PEACHTREE N.E., COLONY SQUARE, BUREAU 1700",The general public,Le grand public,Global Affairs Canada,Affaires mondiales Canada,Bilingual,bilingue,-,-,United States of America (the),États-Unis d'Amérique (les),Non-key service,Un service non-clé,Diplomatic mission or consular post 1019,Mission diplomatique ou consulat 1019,Active,Actif,"A diplomatic mission or consular post, or an office of the Department of Citizenship and Immigration located in a diplomatic mission or consular post","Une mission diplomatique ou un poste consulaire, ou un bureau du ministère de la Citoyenneté et de l’Immigration situé dans une mission diplomatique ou un poste consulaire"
10190,,,,,-,,-,,,,JUS,False,1,0.0,0.0,,10190,204,1,983-2391,,5-1-a,,0,0,204983-2391,-,400 ST. MARY AVENUE,400 AV ST. MARY,The general public,Le grand public,Department of Justice Canada,Ministère de la Justice Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10190,Bureau local 10190,Active,Actif,A local office or facility,Bureau local
10194,,,,,-,,-,,,,DND,False,1,0.0,0.0,,10194,,,,,5-1-a,,0,0,,-,391 YORK AVENUE,391 AV YORK,The general public,Le grand public,National Defence,Défense nationale,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10194,Bureau local 10194,Active,Actif,A local office or facility,Bureau local
10195,,,,,-,,-,,,,DND,False,1,0.0,0.0,,10195,,,,,5-1-a,,0,0,,-,PO BOX 17000 STATION FORCES,"CP 17000, SUCCURSALE FORCES",The general public,Le grand public,National Defence,Défense nationale,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10195 Local PA offices are linked to Ottawa General Inquiries toll free number,Bureau local 10195 Bureaux locaux des AP sont liés au numéro sans frais des renseignements généraux à Ottawa,Active,Actif,A local office or facility,Bureau local
10206,,,,,-,,-,,,,SVC,False,1,0.0,0.0,,10206,877,1,442-4241,,5-1-a,,0,0,877442-4241,-,269 MAIN STREET,269 RUE MAIN,The general public,Le grand public,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,Bilingual,bilingue,Winnipeg,Winnipeg,MB,MB,Non-key service,Un service non-clé,Local Office 10206 ,Bureau local 10206,Active,Actif,A local office or facility,Bureau local
10207,,,,,-,,-,,,,BSF,False,1,0.0,0.0,,10207,999,9,9999,,5-1-h.1,,1500,66880,9999999,-,HIGHWAY 10,HIGHWAY 10,The general public,Le grand public,Canada Border Services Agency,Agence des services frontaliers du Canada,Bilingual,bilingue,Boissevain,Boissevain,MB,MB,Non-key service,Un service non-clé,Boissevain (507),Boissevain (507),Active,Actif,A local office or facility,Bureau local
10209,,,,,-,,-,,,,BSF,False,2,0.0,0.0,,10209,999,9,9999,,5-1-h-i,,105,4260,9999999,-,HIGHWAY 5,HIGHWAY 5,The general public,Le grand public,Canada Border Services Agency,Agence des services frontaliers du Canada,English,anglais,Cartwright,Cartwright,MB,MB,Non-key service,Un service non-clé,Cartwright (521),Cartwright (521),Active,Actif,A local office or facility,Bureau local
1021,,,,,-,157.0,-,,,,EXT,False,1,0.0,0.0,,1021,,,,,10-a,,0,0,157,-,"2302 - 41 MARINA MAZATLAN BOULEVARD, MAZATLAN","2302 BOUL - 41 MARINA MAZATLAN, MAZATLAN",The general public,Le grand public,Global Affairs Canada,Affaires mondiales Canada,Bilingual,bilingue,-,-,Mexico,Mexique (le),Non-key service,Un service non-clé,Diplomatic mission or consular post 1021,Mission diplomatique ou consulat 1021,Active,Actif,"A diplomatic mission or consular post, or an office of the Department of Citizenship and Immigration located in a diplomatic mission or consular post","Une mission diplomatique ou un poste consulaire, ou un bureau du ministère de la Citoyenneté et de l’Immigration situé dans une mission diplomatique ou un poste consulaire"
10211,,,,,-,,-,,,,BSF,False,2,0.0,0.0,,10211,,,,,5-1-h-i,,5,1120,,-,HIGHWAY 83,AUTOROUTE 83,The general public,Le grand public,Canada Border Services Agency,Agence des services frontaliers du Canada,English,anglais,Coulter,Coulter,MB,MB,Non-key service,Un service non-clé,"Local Office 10211 Port of Entry 524, landborder office","Bureau local 10211 Port d'entrée 524, bureau frontalier",Active,Actif,A local office or facility,Bureau local
10212,,,,,-,,-,,,,BSF,False,2,0.0,0.0,,10212,,,,,5-1-h-i,,65,3285,,-,HWY 34,HWY 34,The general public,Le grand public,Canada Border Services Agency,Agence des services frontaliers du Canada,English,anglais,Crystal City,Crystal City,MB,MB,Non-key service,Un service non-clé,Crystal City (520),Crystal City (520),Active,Actif,A local office or facility,Bureau local
10213,,,,,-,,-,,,,BSF,False,1,0.0,0.0,,10213,,,,,10-d,,0,0,,-,502 - Emerson West Lynn,502 - Emerson West Lynn,The travelling public,Le public voyageur,Canada Border Services Agency,Agence des services frontaliers du Canada,Bilingual,bilingue,Emerson,Emerson,MB,MB,Non-key service,Un service non-clé,"Place of entry - custom services 10213 Port of Entry 502, landborder office","Lieu d'entrée - services de douanes 10213 Port d'entrée 502, bureau frontalier",Active,Actif,Located at a place of entry into Canada (other than an airport or ferry terminal),Situé à un lieu d'entrée au Canada (autre qu'un aéroport ou une gare de traversier)
10214,,,,,-,,-,,,,BSF,False,2,0.0,0.0,,10214,,,,,5-1-h-i,,30,3665,,-,"HIGHWAY 21, PO BOX 877","HIGHWAY 21, C.P. 877",The general public,Le grand public,Canada Border Services Agency,Agence des services frontaliers du Canada,English,anglais,Deloraine,Deloraine,MB,MB,Non-key service,Un service non-clé,Goodlands (508),Goodlands (508),Active,Actif,A local office or facility,Bureau local
10215,,,,,-,,-,,,,BSF,False,2,0.0,0.0,,10215,999,9,9999,,5-1-h-i,,95,9995,9999999,-,HIGHWAY 30,HIGHWAY 30,The general public,Le grand public,Canada Border Services Agency,Agence des services frontaliers du Canada,English,anglais,Gretna,Gretna,MB,MB,Non-key service,Un service non-clé,Gretna (503),Gretna (503),Active,Actif,A local office or facility,Bureau local
10216,,,,,-,,-,,,,BSF,False,2,0.0,0.0,,10216,999,9,9999,,5-1-h-i,,60,7025,9999999,-,HIGHWAY 18,HIGHWAY 18,The general public,Le grand public,Canada Border Services Agency,Agence des services frontaliers du Canada,English,anglais,Killarney,Killarney,MB,MB,Non-key service,Un service non-clé,Lena (522),Lena (522),Active,Actif,A local office or facility,Bureau local
10217,,,,,-,,-,,,,BSF,False,2,0.0,0.0,,10217,,,,,5-1-h-i,,10,1660,,-,AUTOROUTE 256 C.P. 206,AUTOROUTE 256 C.P. 206,The general public,Le grand public,Canada Border Services Agency,Agence des services frontaliers du Canada,English,anglais,Pierson,Pierson,MB,MB,Non-key service,Un service non-clé,Lyleton (523),Lyleton (523),Active,Actif,A local office or facility,Bureau local
10218,,,,,-,,-,,,,BSF,False,2,0.0,0.0,,10218,,,,,5-1-h-i,,170,1840,,-,AUTOROUTE 89 C.P. 20,AUTOROUTE 89 C.P. 20,The general public,Le grand public,Canada Border Services Agency,Agence des services frontaliers du Canada,English,anglais,Piney,Piney,MB,MB,Non-key service,Un service non-clé,"Local Office 10218 Port of Entry 517, landborder office","Bureau local 10218 Port d'entrée 517, bureau frontalier",Active,Actif,A local office or facility,Bureau local
